binding_affinity_file_1,binding_affinity_file_2,binding_affinity_file_3,average_binding_affinity
-4.7,-4.7,-5.0,-4.8
-5.0,-5.0,-4.7,-4.8999999999999995
-4.4,-4.4,-4.3,-4.366666666666667
-4.0,-4.3,-4.3,-4.2
-5.0,-5.0,-4.5,-4.833333333333333
-4.8,-4.8,-5.2,-4.933333333333334
-6.2,-6.1,-6.0,-6.1000000000000005
-5.0,-5.3,-5.1,-5.133333333333334
-6.8,-7.0,-6.8,-6.866666666666667
-5.0,-4.8,-5.4,-5.066666666666667
-5.5,-5.4,-5.5,-5.466666666666666
-5.6,-5.6,-5.6,-5.599999999999999
-4.2,-4.4,-4.3,-4.300000000000001
-4.0,-3.7,-4.0,-3.9
-5.2,-5.2,-5.2,-5.2
-5.3,-5.5,-5.5,-5.433333333333334
-4.0,-3.7,-4.0,-3.9
-5.4,-5.0,-5.3,-5.233333333333333
-5.8,-5.9,-5.8,-5.833333333333333
-8.1,-8.1,-7.9,-8.033333333333333
-6.8,-6.7,-6.9,-6.8
-6.5,-6.6,-6.6,-6.566666666666666
-7.0,-7.0,-6.6,-6.866666666666667
-4.9,-5.0,-5.0,-4.966666666666667
-6.6,-6.5,-6.5,-6.533333333333334
-7.2,-7.2,-7.2,-7.2
-8.1,-8.1,-8.1,-8.1
-6.3,-6.3,-5.9,-6.166666666666667
-7.6,-7.6,-7.3,-7.5
-6.9,-6.6,-6.6,-6.7
-6.3,-6.1,-6.4,-6.266666666666666
-6.5,-6.5,-6.5,-6.5
-6.2,-5.9,-6.0,-6.033333333333334
-4.3,-4.4,-4.2,-4.3
-6.7,-6.7,-6.6,-6.666666666666667
-6.5,-6.6,-6.4,-6.5
-6.9,-6.8,-6.9,-6.866666666666667
-7.2,-7.0,-7.2,-7.133333333333333
-6.6,-6.6,-6.6,-6.599999999999999
-4.8,-4.6,-4.6,-4.666666666666666
-5.7,-5.9,-5.9,-5.833333333333333
-6.4,-6.2,-5.9,-6.166666666666667
-6.1,-5.6,-5.6,-5.766666666666666
-7.3,-7.2,-7.3,-7.266666666666667
-6.2,-6.3,-6.4,-6.3
-6.6,-6.7,-6.6,-6.633333333333333
-5.0,-5.0,-5.0,-5.0
-6.4,-6.4,-6.4,-6.400000000000001
-7.2,-7.2,-7.3,-7.233333333333333
-7.3,-7.5,-7.2,-7.333333333333333
-6.7,-7.6,-6.9,-7.066666666666667
-5.9,-5.5,-5.7,-5.7
-3.5,-3.5,-3.5,-3.5
-6.1,-6.1,-6.2,-6.133333333333333
-7.1,-7.0,-7.1,-7.066666666666666
-7.6,-7.1,-7.3,-7.333333333333333
-5.6,-6.8,-5.4,-5.933333333333333
-7.3,-6.2,-7.1,-6.866666666666667
-7.0,-7.2,-6.8,-7.0
-7.4,-7.6,-7.4,-7.466666666666666
-7.4,-7.3,-7.4,-7.366666666666667
