binding_affinity_file_1,binding_affinity_file_2,binding_affinity_file_3,average_binding_affinity
-4.8,-4.8,-5.6,-5.066666666666666
-5.6,-5.3,-5.6,-5.5
-4.5,-5.5,-5.4,-5.133333333333334
-4.0,-4.4,-5.0,-4.466666666666667
-4.8,-4.7,-4.6,-4.7
-5.2,-5.2,-5.2,-5.2
-6.5,-6.6,-6.5,-6.533333333333334
-5.4,-5.4,-5.3,-5.366666666666667
-7.3,-7.0,-7.4,-7.233333333333334
-4.9,-5.4,-4.5,-4.933333333333334
-6.0,-6.0,-5.3,-5.766666666666667
-6.0,-6.0,-5.9,-5.966666666666666
-4.5,-4.8,-4.2,-4.5
-4.2,-4.7,-4.0,-4.3
-5.0,-5.3,-5.2,-5.166666666666667
-6.0,-6.0,-6.0,-6.0
-4.7,-4.8,-4.6,-4.7
-5.4,-4.9,-4.8,-5.033333333333334
-6.3,-6.3,-5.8,-6.133333333333333
-7.8,-7.9,-7.8,-7.833333333333333
-7.5,-7.5,-7.6,-7.533333333333334
-6.9,-7.4,-7.4,-7.233333333333334
-7.5,-7.5,-7.2,-7.3999999999999995
-4.8,-5.6,-5.1,-5.166666666666666
-7.3,-7.3,-7.3,-7.3
-5.9,-6.1,-6.1,-6.033333333333334
-8.0,-7.8,-7.6,-7.8
-6.3,-6.2,-6.3,-6.266666666666667
-7.2,-8.5,-8.4,-8.033333333333333
-7.9,-7.9,-8.3,-8.033333333333333
-6.5,-5.7,-6.6,-6.266666666666666
-5.9,-6.5,-6.5,-6.3
-6.8,-6.6,-6.8,-6.733333333333333
-4.2,-5.5,-4.6,-4.766666666666667
-6.8,-6.8,-6.8,-6.8
-7.2,-7.0,-7.0,-7.066666666666666
-7.2,-7.2,-6.8,-7.066666666666666
-6.9,-6.9,-6.9,-6.900000000000001
-6.7,-7.0,-6.7,-6.8
-5.2,-4.7,-4.8,-4.8999999999999995
-6.3,-6.1,-6.0,-6.133333333333333
-6.3,-5.9,-5.9,-6.033333333333334
-6.0,-5.8,-5.8,-5.866666666666667
-6.7,-6.7,-6.7,-6.7
-6.4,-6.6,-6.8,-6.6000000000000005
-6.7,-6.7,-6.7,-6.7
-5.2,-5.3,-5.2,-5.233333333333333
-6.5,-6.4,-6.4,-6.433333333333334
-7.2,-7.3,-7.1,-7.2
-7.1,-7.6,-7.8,-7.5
-7.7,-7.8,-9.5,-8.333333333333334
-5.8,-6.1,-6.1,-6.0
-4.0,-4.0,-4.0,-4.0
-7.3,-7.5,-7.6,-7.466666666666666
-7.2,-7.2,-7.2,-7.2
-6.7,-9.1,-6.9,-7.566666666666667
-8.3,-5.9,-5.4,-6.533333333333334
-7.0,-7.1,-8.9,-7.666666666666667
-8.3,-7.4,-5.4,-7.033333333333334
-7.5,-9.5,-10.4,-9.133333333333333
-7.7,-7.2,-7.6,-7.5
