binding_affinity_file_1,binding_affinity_file_2,binding_affinity_file_3,average_binding_affinity
-4.6,-4.6,-4.3,-4.5
-4.8,-4.8,-4.8,-4.8
-4.7,-4.6,-5.2,-4.833333333333333
-5.2,-5.0,-5.1,-5.1
-4.8,-4.6,-4.8,-4.733333333333333
-4.7,-4.7,-4.7,-4.7
-6.4,-6.4,-6.4,-6.400000000000001
-5.9,-5.9,-5.8,-5.866666666666667
-7.6,-7.1,-7.5,-7.3999999999999995
-4.7,-4.8,-4.8,-4.766666666666667
-5.6,-5.5,-5.5,-5.533333333333334
-5.7,-5.7,-5.7,-5.7
-5.2,-4.5,-5.1,-4.933333333333333
-5.3,-5.2,-5.1,-5.2
-5.6,-5.6,-5.6,-5.599999999999999
-5.7,-5.7,-5.7,-5.7
-5.2,-4.1,-4.8,-4.7
-5.2,-5.4,-5.4,-5.333333333333333
-5.7,-5.7,-5.7,-5.7
-7.8,-7.8,-7.7,-7.766666666666667
-7.3,-7.3,-7.2,-7.266666666666667
-6.8,-6.6,-6.9,-6.766666666666666
-7.1,-7.1,-7.1,-7.099999999999999
-5.5,-5.4,-4.8,-5.233333333333333
-6.7,-6.8,-6.5,-6.666666666666667
-6.5,-6.5,-6.5,-6.5
-7.8,-7.7,-7.8,-7.766666666666667
-6.0,-6.2,-6.3,-6.166666666666667
-7.9,-7.9,-8.2,-8.0
-7.3,-7.3,-7.4,-7.333333333333333
-6.4,-5.8,-5.8,-6.0
-6.2,-6.2,-5.6,-6.0
-6.7,-6.6,-6.7,-6.666666666666667
-4.4,-4.4,-4.2,-4.333333333333333
-6.8,-6.8,-6.6,-6.733333333333333
-6.6,-6.6,-6.6,-6.599999999999999
-7.2,-6.7,-6.7,-6.866666666666667
-6.9,-6.9,-6.9,-6.900000000000001
-6.6,-6.6,-6.6,-6.599999999999999
-5.1,-5.2,-4.9,-5.066666666666667
-6.2,-6.2,-6.2,-6.2
-6.4,-6.4,-6.3,-6.366666666666667
-5.4,-6.3,-5.4,-5.7
-6.2,-6.9,-6.9,-6.666666666666667
-6.2,-6.9,-6.8,-6.633333333333334
-6.1,-6.3,-6.3,-6.233333333333333
-5.0,-5.0,-4.7,-4.8999999999999995
-5.9,-6.1,-6.0,-6.0
-7.0,-7.0,-6.7,-6.8999999999999995
-7.6,-7.6,-7.4,-7.533333333333334
-7.0,-8.6,-7.7,-7.766666666666667
-5.8,-5.7,-6.1,-5.866666666666667
-4.4,-4.3,-4.4,-4.366666666666666
-6.2,-7.6,-5.9,-6.566666666666667
-7.2,-7.1,-7.1,-7.133333333333333
-8.5,-7.3,-8.3,-8.033333333333333
-6.2,-8.3,-6.8,-7.1000000000000005
-6.9,-7.3,-7.0,-7.066666666666666
-8.9,-6.6,-7.2,-7.566666666666666
-7.4,-7.5,-7.6,-7.5
-7.6,-7.5,-7.3,-7.466666666666666
