binding_affinity_file_1,binding_affinity_file_2,binding_affinity_file_3,average_binding_affinity
-5.5,-4.5,-4.3,-4.766666666666667
-5.1,-5.0,-5.1,-5.066666666666666
-4.9,-4.8,-4.7,-4.8
-3.6,-4.4,-4.1,-4.033333333333333
-4.7,-5.2,-4.7,-4.866666666666667
-5.3,-5.3,-5.3,-5.3
-6.4,-5.9,-5.9,-6.066666666666667
-5.1,-5.6,-5.1,-5.266666666666667
-7.3,-7.1,-7.4,-7.266666666666666
-5.1,-4.7,-5.0,-4.933333333333334
-5.0,-5.0,-5.0,-5.0
-4.9,-5.0,-4.9,-4.933333333333334
-4.0,-4.0,-4.3,-4.1000000000000005
-3.2,-3.5,-3.7,-3.466666666666667
-5.0,-5.0,-4.9,-4.966666666666667
-5.3,-5.2,-5.3,-5.266666666666667
-3.8,-4.4,-3.1,-3.766666666666666
-4.9,-4.7,-4.9,-4.833333333333334
-5.6,-5.6,-5.6,-5.599999999999999
-8.0,-7.9,-7.9,-7.933333333333334
-7.9,-7.1,-7.9,-7.633333333333333
-7.1,-6.9,-7.2,-7.066666666666666
-7.4,-7.0,-6.7,-7.033333333333334
-5.5,-5.2,-5.9,-5.533333333333334
-7.2,-6.7,-7.7,-7.2
-5.8,-5.7,-5.6,-5.7
-8.1,-8.0,-8.1,-8.066666666666668
-5.1,-5.0,-5.0,-5.033333333333333
-7.7,-7.7,-7.8,-7.733333333333333
-7.6,-7.3,-7.5,-7.466666666666666
-6.7,-7.0,-6.0,-6.566666666666666
-5.3,-5.6,-5.7,-5.533333333333332
-6.3,-6.3,-6.7,-6.433333333333334
-4.6,-4.7,-4.6,-4.633333333333334
-7.5,-7.4,-7.5,-7.466666666666666
-7.4,-6.7,-6.8,-6.966666666666668
-7.7,-7.3,-7.8,-7.6000000000000005
-7.0,-7.1,-7.0,-7.033333333333334
-6.7,-7.3,-6.7,-6.8999999999999995
-3.8,-3.8,-3.8,-3.7999999999999994
-5.6,-5.8,-5.7,-5.699999999999999
-6.2,-6.2,-6.2,-6.2
-5.4,-5.0,-6.3,-5.566666666666666
-5.7,-5.8,-5.8,-5.766666666666667
-6.5,-6.5,-6.5,-6.5
-5.6,-5.4,-5.6,-5.533333333333334
-4.9,-5.0,-4.9,-4.933333333333334
-5.7,-5.7,-5.7,-5.7
-8.3,-7.0,-7.2,-7.5
-7.1,-7.4,-7.1,-7.2
-6.8,-6.9,-7.2,-6.966666666666666
-5.5,-5.3,-5.4,-5.400000000000001
-3.9,-3.8,-4.1,-3.933333333333333
-5.7,-6.1,-6.1,-5.966666666666666
-8.0,-8.0,-8.0,-8.0
-6.9,-6.8,-6.4,-6.7
-6.9,-4.8,-6.9,-6.2
-6.3,-6.2,-6.8,-6.433333333333334
-6.7,-6.9,-5.2,-6.266666666666667
-7.7,-7.3,-7.4,-7.466666666666666
-7.6,-7.7,-7.3,-7.533333333333334
