binding_affinity_file_1,binding_affinity_file_2,binding_affinity_file_3,average_binding_affinity
-4.8,-4.8,-4.4,-4.666666666666667
-4.9,-4.9,-5.2,-5.0
-5.1,-4.7,-4.8,-4.866666666666667
-4.5,-5.3,-4.9,-4.9
-4.7,-4.8,-5.2,-4.8999999999999995
-5.1,-4.9,-5.1,-5.033333333333333
-7.7,-7.6,-7.7,-7.666666666666667
-5.0,-5.1,-5.5,-5.2
-8.6,-8.8,-8.7,-8.7
-5.1,-5.3,-5.2,-5.199999999999999
-6.2,-5.9,-6.2,-6.1000000000000005
-5.9,-5.9,-5.9,-5.900000000000001
-3.9,-4.7,-4.4,-4.333333333333333
-3.8,-4.8,-4.2,-4.266666666666667
-4.9,-5.9,-5.5,-5.433333333333334
-6.1,-6.5,-6.1,-6.233333333333333
-4.6,-5.2,-4.2,-4.666666666666667
-5.5,-5.0,-5.5,-5.333333333333333
-6.3,-6.3,-6.3,-6.3
-8.9,-8.9,-8.9,-8.9
-9.0,-9.0,-8.0,-8.666666666666666
-7.7,-7.7,-7.7,-7.7
-8.3,-8.7,-8.8,-8.6
-5.1,-5.4,-5.2,-5.233333333333333
-7.7,-7.8,-8.1,-7.866666666666667
-6.0,-6.5,-6.0,-6.166666666666667
-8.2,-9.2,-7.9,-8.433333333333332
-6.2,-6.4,-6.7,-6.433333333333334
-8.1,-8.3,-8.1,-8.166666666666666
-7.4,-7.6,-7.3,-7.433333333333334
-6.7,-6.8,-7.0,-6.833333333333333
-6.5,-6.5,-5.8,-6.266666666666667
-6.8,-7.0,-5.9,-6.566666666666667
-5.1,-4.6,-4.2,-4.633333333333333
-8.2,-8.0,-7.4,-7.866666666666667
-8.2,-8.2,-8.1,-8.166666666666666
-8.4,-7.9,-8.4,-8.233333333333334
-8.7,-7.1,-7.1,-7.633333333333333
-8.0,-8.0,-8.0,-8.0
-5.4,-4.2,-4.2,-4.6000000000000005
-6.4,-6.4,-6.2,-6.333333333333333
-6.2,-6.2,-6.1,-6.166666666666667
-7.0,-7.1,-7.1,-7.066666666666666
-6.2,-6.1,-6.9,-6.400000000000001
-6.8,-6.9,-6.8,-6.833333333333333
-6.0,-6.7,-6.7,-6.466666666666666
-4.8,-4.8,-4.7,-4.766666666666667
-6.1,-6.2,-6.1,-6.133333333333333
-7.7,-6.5,-7.7,-7.3
-7.7,-7.7,-7.8,-7.733333333333333
-8.2,-8.3,-8.0,-8.166666666666666
-5.9,-6.7,-4.6,-5.733333333333334
-3.9,-3.8,-3.9,-3.8666666666666667
-7.2,-7.3,-6.5,-7.0
-7.0,-7.1,-6.8,-6.966666666666666
-8.6,-7.3,-8.5,-8.133333333333333
-7.8,-8.0,-7.4,-7.733333333333334
-7.9,-7.2,-8.4,-7.833333333333333
-7.8,-8.6,-8.2,-8.2
-8.9,-8.7,-7.4,-8.333333333333334
-8.9,-8.1,-8.2,-8.4
