binding_affinity_file_1,binding_affinity_file_2,binding_affinity_file_3,average_binding_affinity
-3.0,-3.0,-3.0,-3.0
-3.0,-3.0,-2.9,-2.966666666666667
-2.9,-2.9,-3.0,-2.9333333333333336
-2.8,-2.8,-3.0,-2.8666666666666667
-3.4,-3.4,-3.3,-3.3666666666666667
-3.1,-3.1,-3.1,-3.1
-4.3,-4.3,-4.3,-4.3
-3.4,-3.4,-3.4,-3.4
-4.7,-4.7,-4.5,-4.633333333333334
-3.0,-3.0,-3.0,-3.0
-3.6,-3.6,-3.5,-3.5666666666666664
-3.8,-3.8,-3.8,-3.7999999999999994
-2.8,-2.8,-2.9,-2.8333333333333335
-2.7,-2.7,-2.5,-2.6333333333333333
-3.3,-3.3,-3.2,-3.266666666666667
-3.7,-3.7,-3.7,-3.7000000000000006
-2.7,-2.7,-2.6,-2.6666666666666665
-3.5,-3.5,-4.3,-3.766666666666667
-4.0,-4.0,-3.5,-3.8333333333333335
-5.8,-5.8,-4.0,-5.2
-4.9,-4.9,-5.8,-5.2
-4.3,-4.3,-4.9,-4.5
-5.0,-5.0,-4.3,-4.766666666666667
-3.6,-3.6,-4.8,-4.0
-4.3,-4.3,-3.6,-4.066666666666666
-4.5,-4.5,-4.5,-4.5
-5.2,-5.2,-5.2,-5.2
-4.2,-4.2,-3.6,-4.0
-5.0,-5.0,-5.0,-5.0
-4.3,-4.3,-4.2,-4.266666666666667
-4.5,-4.5,-4.5,-4.5
-4.2,-4.2,-4.2,-4.2
-4.0,-4.0,-4.1,-4.033333333333333
-2.8,-2.8,-2.8,-2.7999999999999994
-4.7,-4.7,-4.7,-4.7
-4.3,-4.3,-4.3,-4.3
-4.4,-4.4,-4.4,-4.4
-4.9,-4.9,-5.0,-4.933333333333334
-4.4,-4.4,-4.4,-4.4
-2.6,-2.6,-2.9,-2.6999999999999997
-4.1,-4.1,-4.1,-4.1
-4.4,-4.4,-4.4,-4.4
-4.6,-4.6,-3.9,-4.366666666666666
-4.3,-4.3,-4.3,-4.3
-4.1,-4.1,-4.1,-4.1
-4.3,-4.3,-4.4,-4.333333333333333
-3.0,-3.0,-3.1,-3.033333333333333
-4.6,-4.6,-4.2,-4.466666666666666
-4.7,-4.7,-4.6,-4.666666666666667
-4.8,-4.8,-4.8,-4.8
-5.0,-5.0,-5.0,-5.0
-4.0,-4.0,-3.6,-3.8666666666666667
-2.5,-2.5,-2.5,-2.5
-4.6,-4.6,-4.2,-4.466666666666666
-4.8,-4.8,-4.8,-4.8
-5.2,-5.2,-4.9,-5.1000000000000005
-4.2,-4.2,-4.2,-4.2
-4.9,-4.9,-5.0,-4.933333333333334
-4.2,-4.2,-4.2,-4.2
-5.3,-5.3,-5.4,-5.333333333333333
-5.3,-5.3,-5.3,-5.3
