binding_affinity_file_1,binding_affinity_file_2,binding_affinity_file_3,average_binding_affinity
-4.6,-4.6,-4.6,-4.6
-4.9,-4.8,-4.8,-4.833333333333333
-5.2,-5.1,-5.1,-5.133333333333334
-5.1,-4.4,-4.8,-4.766666666666667
-4.8,-5.1,-5.0,-4.966666666666666
-4.7,-4.8,-4.7,-4.733333333333333
-6.7,-6.7,-6.5,-6.633333333333333
-6.2,-6.1,-5.9,-6.066666666666667
-7.2,-7.2,-7.3,-7.233333333333333
-4.6,-4.2,-4.1,-4.3
-5.7,-5.7,-5.5,-5.633333333333333
-5.8,-5.8,-5.8,-5.8
-4.2,-4.5,-4.3,-4.333333333333333
-4.2,-4.5,-4.4,-4.366666666666666
-5.2,-5.4,-5.3,-5.300000000000001
-5.7,-5.7,-5.9,-5.766666666666667
-4.8,-3.9,-4.3,-4.333333333333333
-5.5,-5.1,-4.7,-5.1000000000000005
-6.0,-6.0,-6.0,-6.0
-8.3,-8.3,-8.3,-8.3
-7.5,-7.3,-7.1,-7.3
-7.3,-7.5,-7.5,-7.433333333333334
-7.6,-7.5,-7.4,-7.5
-5.4,-5.4,-5.5,-5.433333333333334
-7.3,-7.3,-7.3,-7.3
-7.7,-7.7,-7.5,-7.633333333333333
-8.7,-8.7,-8.8,-8.733333333333333
-5.6,-5.7,-5.2,-5.5
-8.4,-8.4,-8.4,-8.4
-7.3,-6.5,-6.7,-6.833333333333333
-6.4,-7.0,-6.8,-6.733333333333333
-5.5,-5.8,-5.5,-5.6000000000000005
-6.2,-6.5,-6.4,-6.366666666666667
-4.5,-4.5,-4.5,-4.5
-7.1,-7.1,-6.8,-7.0
-7.3,-7.3,-7.3,-7.3
-7.1,-7.2,-7.2,-7.166666666666667
-6.9,-6.9,-6.9,-6.900000000000001
-6.9,-6.9,-6.9,-6.900000000000001
-4.5,-4.5,-4.6,-4.533333333333333
-5.7,-5.8,-5.7,-5.733333333333333
-5.6,-5.6,-5.6,-5.599999999999999
-6.1,-5.7,-6.2,-6.0
-6.2,-6.2,-5.8,-6.066666666666666
-7.1,-7.1,-7.1,-7.099999999999999
-5.3,-5.4,-5.3,-5.333333333333333
-4.9,-5.0,-4.9,-4.933333333333334
-5.1,-5.3,-5.1,-5.166666666666666
-6.8,-6.8,-6.8,-6.8
-7.3,-7.4,-7.2,-7.3
-7.8,-7.8,-7.5,-7.7
-5.9,-5.9,-5.8,-5.866666666666667
-6.4,-4.2,-4.1,-4.9
-4.1,-6.4,-7.3,-5.933333333333334
-7.7,-7.6,-7.6,-7.633333333333333
-7.6,-7.5,-6.7,-7.266666666666667
-5.8,-5.9,-7.1,-6.266666666666666
-7.8,-6.9,-7.8,-7.5
-7.1,-6.0,-7.5,-6.866666666666667
-7.3,-7.3,-7.1,-7.233333333333333
-7.6,-7.6,-7.5,-7.566666666666666
