binding_affinity_file_1,binding_affinity_file_2,binding_affinity_file_3,average_binding_affinity
-3.9,-3.9,-3.9,-3.9
-4.1,-4.2,-4.1,-4.133333333333334
-4.0,-3.9,-4.0,-3.966666666666667
-4.2,-4.5,-4.7,-4.466666666666666
-4.4,-4.3,-4.5,-4.3999999999999995
-4.2,-4.2,-4.2,-4.2
-5.8,-6.3,-6.1,-6.066666666666666
-5.3,-5.0,-4.9,-5.066666666666667
-7.1,-6.9,-7.1,-7.033333333333334
-4.8,-4.4,-4.2,-4.466666666666666
-5.2,-5.2,-5.2,-5.2
-5.3,-5.3,-5.3,-5.3
-4.0,-3.8,-4.4,-4.066666666666666
-4.3,-4.1,-4.3,-4.233333333333333
-5.0,-5.2,-5.2,-5.133333333333333
-5.3,-5.2,-5.2,-5.233333333333333
-4.3,-4.2,-4.5,-4.333333333333333
-5.0,-5.0,-5.0,-5.0
-6.0,-6.0,-6.0,-6.0
-8.3,-8.2,-8.3,-8.266666666666667
-7.1,-6.7,-7.1,-6.966666666666666
-6.5,-6.5,-6.5,-6.5
-7.2,-7.2,-7.2,-7.2
-4.7,-4.9,-5.1,-4.9
-6.5,-6.6,-6.3,-6.466666666666666
-6.1,-6.1,-6.1,-6.099999999999999
-8.1,-8.1,-8.1,-8.1
-5.7,-5.7,-5.9,-5.766666666666667
-7.3,-7.6,-7.4,-7.433333333333333
-6.5,-5.9,-6.6,-6.333333333333333
-6.3,-6.3,-6.2,-6.266666666666667
-6.2,-6.2,-6.2,-6.2
-5.9,-5.8,-6.4,-6.033333333333334
-3.9,-3.9,-4.1,-3.9666666666666663
-6.4,-6.3,-6.3,-6.333333333333333
-6.3,-6.3,-6.4,-6.333333333333333
-6.4,-6.5,-6.5,-6.466666666666666
-7.4,-7.4,-7.5,-7.433333333333334
-6.2,-6.2,-6.2,-6.2
-4.2,-4.1,-4.5,-4.266666666666667
-6.5,-6.5,-6.5,-6.5
-6.6,-6.6,-6.6,-6.599999999999999
-5.5,-5.7,-5.9,-5.7
-6.2,-6.2,-6.2,-6.2
-5.9,-5.9,-5.9,-5.900000000000001
-6.4,-6.4,-6.4,-6.400000000000001
-4.2,-4.3,-4.3,-4.266666666666667
-6.0,-6.1,-6.0,-6.033333333333334
-7.4,-7.4,-7.5,-7.433333333333334
-6.8,-7.3,-7.4,-7.166666666666667
-6.8,-6.9,-6.8,-6.833333333333333
-5.5,-5.3,-4.9,-5.233333333333333
-3.5,-3.1,-3.7,-3.4333333333333336
-6.4,-6.1,-6.2,-6.233333333333333
-8.4,-8.5,-8.7,-8.533333333333333
-7.0,-7.7,-6.9,-7.2
-6.3,-6.6,-6.6,-6.5
-7.0,-7.2,-6.6,-6.933333333333333
-6.2,-6.0,-6.2,-6.133333333333333
-7.0,-7.0,-7.0,-7.0
-7.0,-7.2,-7.1,-7.099999999999999
