binding_affinity_file_1,binding_affinity_file_2,binding_affinity_file_3,average_binding_affinity
-5.0,-5.0,-5.0,-5.0
-5.2,-5.2,-5.1,-5.166666666666667
-5.0,-4.7,-4.7,-4.8
-5.3,-5.5,-4.5,-5.1000000000000005
-5.2,-5.8,-4.7,-5.233333333333333
-5.0,-5.1,-5.0,-5.033333333333333
-6.9,-7.4,-7.0,-7.1000000000000005
-5.6,-5.8,-5.9,-5.766666666666666
-8.2,-7.5,-8.2,-7.966666666666666
-5.2,-6.0,-4.8,-5.333333333333333
-5.7,-5.5,-5.7,-5.633333333333333
-5.4,-5.4,-5.4,-5.400000000000001
-4.8,-4.6,-4.0,-4.466666666666666
-4.1,-4.1,-4.2,-4.133333333333333
-5.6,-5.5,-5.6,-5.566666666666666
-5.7,-5.7,-5.6,-5.666666666666667
-4.6,-4.1,-4.6,-4.433333333333333
-5.4,-5.4,-5.4,-5.400000000000001
-6.5,-6.5,-6.5,-6.5
-9.3,-9.4,-7.9,-8.866666666666667
-7.6,-8.2,-7.6,-7.8
-7.6,-7.5,-9.2,-8.1
-7.8,-8.2,-7.3,-7.766666666666667
-5.8,-5.5,-5.4,-5.566666666666667
-7.4,-7.7,-7.4,-7.5
-6.3,-6.6,-6.2,-6.366666666666666
-8.9,-9.0,-9.0,-8.966666666666667
-6.6,-6.6,-6.4,-6.533333333333334
-9.3,-9.3,-8.8,-9.133333333333335
-9.4,-8.2,-8.4,-8.666666666666666
-6.6,-6.7,-7.4,-6.900000000000001
-6.0,-6.5,-5.8,-6.1000000000000005
-8.0,-7.6,-6.4,-7.333333333333333
-5.7,-5.3,-4.4,-5.133333333333334
-7.8,-7.8,-7.8,-7.8
-7.5,-7.8,-7.4,-7.566666666666667
-7.8,-7.8,-7.4,-7.666666666666667
-7.2,-7.2,-7.2,-7.2
-7.8,-7.3,-7.2,-7.433333333333334
-4.9,-4.3,-3.9,-4.366666666666666
-6.8,-6.8,-5.9,-6.5
-6.3,-6.5,-6.2,-6.333333333333333
-7.0,-7.2,-6.4,-6.866666666666667
-6.1,-6.1,-6.0,-6.066666666666666
-6.5,-6.4,-6.4,-6.433333333333334
-6.0,-6.0,-6.0,-6.0
-5.3,-5.4,-5.3,-5.333333333333333
-6.3,-5.9,-6.4,-6.2
-7.7,-7.8,-8.7,-8.066666666666666
-9.5,-9.3,-7.9,-8.9
-7.9,-8.2,-7.6,-7.900000000000001
-7.0,-7.0,-6.1,-6.7
-3.8,-3.8,-3.6,-3.733333333333333
-7.3,-7.2,-6.8,-7.1000000000000005
-7.9,-7.8,-8.1,-7.933333333333333
-8.8,-8.8,-8.6,-8.733333333333334
-8.2,-8.1,-8.3,-8.2
-9.0,-9.0,-7.2,-8.4
-8.0,-8.7,-8.6,-8.433333333333332
-8.4,-9.1,-8.5,-8.666666666666666
-8.7,-8.7,-8.7,-8.7
