binding_affinity_file_1,binding_affinity_file_2,binding_affinity_file_3,average_binding_affinity
-5.3,-4.9,-4.4,-4.866666666666666
-5.4,-5.7,-5.2,-5.433333333333334
-4.4,-4.6,-4.7,-4.566666666666666
-4.1,-4.4,-4.3,-4.266666666666667
-5.0,-5.3,-5.2,-5.166666666666667
-4.6,-4.8,-4.8,-4.733333333333333
-6.5,-7.1,-6.5,-6.7
-4.8,-4.9,-4.9,-4.866666666666666
-7.6,-7.1,-7.3,-7.333333333333333
-4.8,-5.3,-4.5,-4.866666666666666
-5.0,-5.5,-5.4,-5.3
-6.1,-5.2,-6.3,-5.866666666666667
-4.1,-3.7,-4.0,-3.9333333333333336
-4.6,-4.9,-4.6,-4.7
-5.1,-4.7,-4.8,-4.866666666666667
-5.7,-6.4,-6.4,-6.166666666666667
-3.6,-4.0,-3.8,-3.7999999999999994
-4.7,-4.9,-5.2,-4.933333333333334
-6.0,-6.0,-6.3,-6.1000000000000005
-7.9,-8.0,-8.0,-7.966666666666666
-7.2,-7.2,-7.9,-7.433333333333334
-7.3,-7.2,-7.2,-7.233333333333333
-7.1,-8.0,-7.1,-7.3999999999999995
-4.3,-5.4,-4.7,-4.8
-7.4,-7.4,-7.4,-7.400000000000001
-5.9,-5.9,-5.9,-5.900000000000001
-7.9,-7.9,-7.9,-7.900000000000001
-5.6,-5.4,-5.3,-5.433333333333334
-7.2,-8.0,-8.1,-7.766666666666666
-7.2,-8.8,-6.8,-7.6000000000000005
-6.4,-7.5,-5.8,-6.566666666666666
-5.8,-5.9,-6.1,-5.933333333333333
-6.5,-6.2,-6.1,-6.266666666666666
-4.6,-4.4,-4.8,-4.6000000000000005
-7.9,-7.3,-7.1,-7.433333333333333
-7.3,-6.9,-7.4,-7.2
-7.2,-7.2,-7.7,-7.366666666666667
-8.4,-7.3,-7.1,-7.599999999999999
-7.2,-7.1,-7.5,-7.266666666666667
-4.3,-3.5,-4.1,-3.9666666666666663
-5.7,-5.9,-5.8,-5.800000000000001
-5.7,-6.3,-6.3,-6.1000000000000005
-6.1,-5.1,-5.6,-5.599999999999999
-5.9,-5.9,-6.2,-6.0
-6.3,-6.5,-6.4,-6.400000000000001
-6.0,-6.0,-6.0,-6.0
-5.3,-5.2,-5.4,-5.3
-6.1,-6.0,-5.9,-6.0
-7.8,-8.4,-6.5,-7.566666666666666
-7.8,-8.1,-7.7,-7.866666666666666
-6.8,-7.1,-7.3,-7.066666666666666
-4.6,-5.5,-5.7,-5.266666666666667
-4.3,-4.2,-3.3,-3.9333333333333336
-5.8,-6.4,-6.1,-6.099999999999999
-6.8,-8.5,-6.9,-7.400000000000001
-6.3,-6.9,-7.1,-6.766666666666666
-7.1,-5.9,-6.4,-6.466666666666666
-7.4,-6.5,-6.6,-6.833333333333333
-6.7,-5.7,-5.7,-6.033333333333334
-8.0,-7.7,-7.8,-7.833333333333333
-8.3,-8.0,-8.2,-8.166666666666666
