Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4bkx_cleaned_892_uff_E=156.51,-5.0,0.0,0.0
4bkx_cleaned_892_uff_E=156.51,-4.7,3.818,0.986
4bkx_cleaned_892_uff_E=156.51,-4.6,3.241,1.307
4bkx_cleaned_892_uff_E=156.51,-4.5,3.48,2.025
4bkx_cleaned_892_uff_E=156.51,-4.5,35.856,34.146
4bkx_cleaned_892_uff_E=156.51,-4.4,37.04,36.497
4bkx_cleaned_892_uff_E=156.51,-4.4,4.065,1.608
4bkx_cleaned_892_uff_E=156.51,-4.3,20.181,19.158
4bkx_cleaned_892_uff_E=156.51,-4.3,35.043,33.256
4bkx_cleaned_289_uff_E=55.42,-4.7,0.0,0.0
4bkx_cleaned_289_uff_E=55.42,-4.7,2.208,0.014
4bkx_cleaned_289_uff_E=55.42,-4.5,16.816,16.498
4bkx_cleaned_289_uff_E=55.42,-4.4,16.727,16.382
4bkx_cleaned_289_uff_E=55.42,-4.1,29.735,28.788
4bkx_cleaned_289_uff_E=55.42,-4.0,27.41,26.301
4bkx_cleaned_289_uff_E=55.42,-4.0,30.347,29.417
4bkx_cleaned_289_uff_E=55.42,-4.0,27.461,26.346
4bkx_cleaned_289_uff_E=55.42,-4.0,29.906,29.289
4bkx_cleaned_938_uff_E=58.73,-4.3,0.0,0.0
4bkx_cleaned_938_uff_E=58.73,-4.2,29.94,29.319
4bkx_cleaned_938_uff_E=58.73,-4.2,17.685,17.379
4bkx_cleaned_938_uff_E=58.73,-4.2,2.473,1.896
4bkx_cleaned_938_uff_E=58.73,-4.1,26.489,25.879
4bkx_cleaned_938_uff_E=58.73,-4.0,2.346,1.936
4bkx_cleaned_938_uff_E=58.73,-4.0,36.654,35.916
4bkx_cleaned_938_uff_E=58.73,-4.0,17.953,16.948
4bkx_cleaned_938_uff_E=58.73,-3.9,36.279,35.558
4bkx_cleaned_985_uff_E=57.46,-4.3,0.0,0.0
4bkx_cleaned_985_uff_E=57.46,-4.1,28.763,26.228
4bkx_cleaned_985_uff_E=57.46,-4.0,28.647,26.249
4bkx_cleaned_985_uff_E=57.46,-4.0,9.079,5.744
4bkx_cleaned_985_uff_E=57.46,-4.0,23.574,21.131
4bkx_cleaned_985_uff_E=57.46,-4.0,32.972,30.937
4bkx_cleaned_985_uff_E=57.46,-4.0,22.558,20.039
4bkx_cleaned_985_uff_E=57.46,-4.0,23.73,20.967
4bkx_cleaned_985_uff_E=57.46,-3.9,14.467,11.533
4bkx_cleaned_1054_uff_E=125.61,-4.5,0.0,0.0
