Ligand,Binding Affinity,rmsd/ub, rmsd/lb
5iwg_cleaned_289_uff_E=55.42,-4.8,0.0,0.0
5iwg_cleaned_289_uff_E=55.42,-4.8,2.208,0.036
5iwg_cleaned_289_uff_E=55.42,-4.8,22.854,21.915
5iwg_cleaned_289_uff_E=55.42,-4.6,41.08,40.591
5iwg_cleaned_289_uff_E=55.42,-4.5,36.239,35.241
5iwg_cleaned_289_uff_E=55.42,-4.5,36.269,35.236
5iwg_cleaned_289_uff_E=55.42,-4.5,41.096,40.569
5iwg_cleaned_289_uff_E=55.42,-4.4,17.117,16.064
5iwg_cleaned_289_uff_E=55.42,-4.4,17.204,16.446
5iwg_cleaned_892_uff_E=156.51,-5.6,0.0,0.0
5iwg_cleaned_892_uff_E=156.51,-5.2,41.417,40.193
5iwg_cleaned_892_uff_E=156.51,-4.9,3.116,1.696
5iwg_cleaned_892_uff_E=156.51,-4.8,3.964,1.903
5iwg_cleaned_892_uff_E=156.51,-4.7,41.856,40.713
5iwg_cleaned_892_uff_E=156.51,-4.6,3.247,1.044
5iwg_cleaned_892_uff_E=156.51,-4.5,42.607,41.786
5iwg_cleaned_892_uff_E=156.51,-4.4,43.48,41.786
5iwg_cleaned_892_uff_E=156.51,-4.4,35.881,33.963
5iwg_cleaned_938_uff_E=58.73,-4.5,0.0,0.0
5iwg_cleaned_938_uff_E=58.73,-4.5,37.128,36.55
5iwg_cleaned_938_uff_E=58.73,-4.3,17.27,16.618
5iwg_cleaned_938_uff_E=58.73,-4.1,36.525,35.737
5iwg_cleaned_938_uff_E=58.73,-4.0,3.053,2.638
5iwg_cleaned_938_uff_E=58.73,-4.0,33.106,32.787
5iwg_cleaned_938_uff_E=58.73,-4.0,31.28,30.69
5iwg_cleaned_938_uff_E=58.73,-3.9,17.68,16.942
5iwg_cleaned_938_uff_E=58.73,-3.9,18.179,17.248
5iwg_cleaned_985_uff_E=57.46,-4.0,0.0,0.0
5iwg_cleaned_985_uff_E=57.46,-4.0,40.969,38.962
5iwg_cleaned_985_uff_E=57.46,-3.8,36.414,33.909
5iwg_cleaned_985_uff_E=57.46,-3.8,40.541,37.494
5iwg_cleaned_985_uff_E=57.46,-3.8,34.089,32.328
5iwg_cleaned_985_uff_E=57.46,-3.6,42.325,40.295
5iwg_cleaned_985_uff_E=57.46,-3.6,35.985,33.772
5iwg_cleaned_985_uff_E=57.46,-3.6,29.057,27.402
5iwg_cleaned_985_uff_E=57.46,-3.6,30.863,29.347
5iwg_cleaned_1054_uff_E=125.61,-4.8,0.0,0.0
5iwg_cleaned_1054_uff_E=125.61,-4.7,36.498,35.42
5iwg_cleaned_1054_uff_E=125.61,-4.7,38.046,36.921
5iwg_cleaned_1054_uff_E=125.61,-4.5,20.182,19.035
5iwg_cleaned_1054_uff_E=125.61,-4.5,37.765,36.653
5iwg_cleaned_1054_uff_E=125.61,-4.4,3.993,2.163
5iwg_cleaned_1054_uff_E=125.61,-4.4,22.796,21.551
5iwg_cleaned_1054_uff_E=125.61,-4.3,22.53,21.499
5iwg_cleaned_1054_uff_E=125.61,-4.3,34.768,34.279
5iwg_cleaned_1057_uff_E=62.72,-5.2,0.0,0.0
5iwg_cleaned_1057_uff_E=62.72,-4.8,2.125,1.094
5iwg_cleaned_1057_uff_E=62.72,-4.8,36.079,35.077
5iwg_cleaned_1057_uff_E=62.72,-4.8,41.231,40.616
