Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6049c7bc34a5773a_289_uff_E=55.42,-5.5,0.0,0.0
6049c7bc34a5773a_289_uff_E=55.42,-5.4,2.087,1.144
6049c7bc34a5773a_289_uff_E=55.42,-5.3,18.648,17.775
6049c7bc34a5773a_289_uff_E=55.42,-5.3,18.679,17.774
6049c7bc34a5773a_289_uff_E=55.42,-4.5,19.545,19.166
6049c7bc34a5773a_289_uff_E=55.42,-4.5,19.394,18.482
6049c7bc34a5773a_289_uff_E=55.42,-4.5,19.324,18.467
6049c7bc34a5773a_289_uff_E=55.42,-4.4,21.961,20.667
6049c7bc34a5773a_289_uff_E=55.42,-4.3,23.744,22.684
6049c7bc34a5773a_892_uff_E=156.51,-5.1,0.0,0.0
6049c7bc34a5773a_892_uff_E=156.51,-5.0,28.793,27.501
6049c7bc34a5773a_892_uff_E=156.51,-5.0,3.84,1.945
6049c7bc34a5773a_892_uff_E=156.51,-5.0,29.174,27.871
6049c7bc34a5773a_892_uff_E=156.51,-4.8,3.139,0.947
6049c7bc34a5773a_892_uff_E=156.51,-4.8,4.247,0.59
6049c7bc34a5773a_892_uff_E=156.51,-4.8,29.13,27.87
6049c7bc34a5773a_892_uff_E=156.51,-4.8,3.034,1.158
6049c7bc34a5773a_892_uff_E=156.51,-4.7,29.422,28.252
6049c7bc34a5773a_938_uff_E=58.73,-4.9,0.0,0.0
6049c7bc34a5773a_938_uff_E=58.73,-4.7,29.93,29.065
6049c7bc34a5773a_938_uff_E=58.73,-4.3,32.611,32.247
6049c7bc34a5773a_938_uff_E=58.73,-4.2,32.612,32.261
6049c7bc34a5773a_938_uff_E=58.73,-4.2,44.906,44.246
6049c7bc34a5773a_938_uff_E=58.73,-4.2,2.635,1.938
6049c7bc34a5773a_938_uff_E=58.73,-4.1,38.21,37.66
6049c7bc34a5773a_938_uff_E=58.73,-3.9,32.783,32.288
6049c7bc34a5773a_938_uff_E=58.73,-3.7,44.851,44.587
6049c7bc34a5773a_985_uff_E=57.46,-3.6,0.0,0.0
6049c7bc34a5773a_985_uff_E=57.46,-3.4,3.325,1.739
6049c7bc34a5773a_985_uff_E=57.46,-3.4,29.778,28.199
6049c7bc34a5773a_985_uff_E=57.46,-3.3,22.737,20.169
6049c7bc34a5773a_985_uff_E=57.46,-3.2,29.528,27.814
6049c7bc34a5773a_985_uff_E=57.46,-3.2,38.853,36.53
6049c7bc34a5773a_985_uff_E=57.46,-3.1,31.604,28.467
6049c7bc34a5773a_985_uff_E=57.46,-3.1,38.041,35.153
6049c7bc34a5773a_985_uff_E=57.46,-3.1,25.331,20.9
6049c7bc34a5773a_1054_uff_E=125.61,-4.7,0.0,0.0
6049c7bc34a5773a_1054_uff_E=125.61,-4.7,3.556,2.296
6049c7bc34a5773a_1054_uff_E=125.61,-4.6,30.149,29.047
6049c7bc34a5773a_1054_uff_E=125.61,-4.5,30.432,28.647
6049c7bc34a5773a_1054_uff_E=125.61,-4.4,3.821,2.823
6049c7bc34a5773a_1054_uff_E=125.61,-4.3,29.554,27.985
6049c7bc34a5773a_1054_uff_E=125.61,-4.2,28.801,27.769
6049c7bc34a5773a_1054_uff_E=125.61,-4.0,34.632,33.052
6049c7bc34a5773a_1054_uff_E=125.61,-4.0,46.081,45.049
6049c7bc34a5773a_1057_uff_E=62.72,-5.3,0.0,0.0
6049c7bc34a5773a_1057_uff_E=62.72,-5.3,2.778,0.014
6049c7bc34a5773a_1057_uff_E=62.72,-4.8,2.76,2.353
6049c7bc34a5773a_1057_uff_E=62.72,-4.8,2.823,2.354
6049c7bc34a5773a_1057_uff_E=62.72,-4.7,33.87,33.473
6049c7bc34a5773a_1057_uff_E=62.72,-4.7,33.887,33.478
6049c7bc34a5773a_1057_uff_E=62.72,-4.6,29.751,28.921
6049c7bc34a5773a_1057_uff_E=62.72,-4.6,16.042,14.633
6049c7bc34a5773a_1057_uff_E=62.72,-4.6,15.813,14.633
6049c7bc34a5773a_3764_uff_E=337.15,-6.4,0.0,0.0
6049c7bc34a5773a_3764_uff_E=337.15,-6.3,2.736,1.922
6049c7bc34a5773a_3764_uff_E=337.15,-6.2,32.312,31.007
6049c7bc34a5773a_3764_uff_E=337.15,-6.2,2.774,2.202
6049c7bc34a5773a_3764_uff_E=337.15,-5.9,33.479,31.878
6049c7bc34a5773a_3764_uff_E=337.15,-5.9,19.223,16.944
6049c7bc34a5773a_3764_uff_E=337.15,-5.8,38.877,36.963
6049c7bc34a5773a_3764_uff_E=337.15,-5.8,18.538,16.016
6049c7bc34a5773a_3764_uff_E=337.15,-5.7,7.296,1.985
6049c7bc34a5773a_4276_uff_E=330.81,-5.1,0.0,0.0
6049c7bc34a5773a_4276_uff_E=330.81,-5.0,15.574,14.37
6049c7bc34a5773a_4276_uff_E=330.81,-5.0,16.605,14.33
6049c7bc34a5773a_4276_uff_E=330.81,-4.6,29.371,27.767
6049c7bc34a5773a_4276_uff_E=330.81,-4.5,23.068,21.255
6049c7bc34a5773a_4276_uff_E=330.81,-4.5,26.266,24.987
6049c7bc34a5773a_4276_uff_E=330.81,-4.4,3.12,1.494
6049c7bc34a5773a_4276_uff_E=330.81,-4.4,25.766,24.638
6049c7bc34a5773a_4276_uff_E=330.81,-4.4,24.014,22.063
6049c7bc34a5773a_5997_uff_E=549.32,-7.3,0.0,0.0
6049c7bc34a5773a_5997_uff_E=549.32,-7.0,47.9,45.98
6049c7bc34a5773a_5997_uff_E=549.32,-6.6,48.403,45.435
6049c7bc34a5773a_5997_uff_E=549.32,-6.6,48.57,46.425
6049c7bc34a5773a_5997_uff_E=549.32,-6.4,42.052,39.677
6049c7bc34a5773a_5997_uff_E=549.32,-6.2,9.527,3.35
6049c7bc34a5773a_5997_uff_E=549.32,-6.1,6.585,2.922
6049c7bc34a5773a_5997_uff_E=549.32,-6.1,31.856,28.361
6049c7bc34a5773a_5997_uff_E=549.32,-6.1,23.498,19.79
6049c7bc34a5773a_6613_uff_E=133.81,-5.1,0.0,0.0
6049c7bc34a5773a_6613_uff_E=133.81,-4.8,2.897,2.28
