Ligand,Binding Affinity,rmsd/ub, rmsd/lb
8q9r_cleaned_289_uff_E=55.42,-3.9,0.0,0.0
8q9r_cleaned_289_uff_E=55.42,-3.9,2.209,0.061
8q9r_cleaned_289_uff_E=55.42,-3.8,2.378,1.05
8q9r_cleaned_289_uff_E=55.42,-3.8,1.935,1.055
8q9r_cleaned_289_uff_E=55.42,-3.7,32.925,32.242
8q9r_cleaned_289_uff_E=55.42,-3.7,34.657,33.977
8q9r_cleaned_289_uff_E=55.42,-3.7,24.822,23.57
8q9r_cleaned_289_uff_E=55.42,-3.7,34.812,34.102
8q9r_cleaned_289_uff_E=55.42,-3.6,26.468,25.613
8q9r_cleaned_892_uff_E=156.51,-4.2,0.0,0.0
8q9r_cleaned_892_uff_E=156.51,-4.1,13.002,10.691
8q9r_cleaned_892_uff_E=156.51,-4.1,23.727,21.925
8q9r_cleaned_892_uff_E=156.51,-4.1,3.66,1.008
8q9r_cleaned_892_uff_E=156.51,-4.1,12.979,10.66
8q9r_cleaned_892_uff_E=156.51,-4.0,12.967,11.237
8q9r_cleaned_892_uff_E=156.51,-4.0,2.085,1.221
8q9r_cleaned_892_uff_E=156.51,-4.0,12.676,10.678
8q9r_cleaned_892_uff_E=156.51,-3.9,2.814,1.44
8q9r_cleaned_938_uff_E=58.73,-3.9,0.0,0.0
8q9r_cleaned_938_uff_E=58.73,-3.9,25.479,25.146
8q9r_cleaned_938_uff_E=58.73,-3.9,26.586,26.285
8q9r_cleaned_938_uff_E=58.73,-3.8,25.343,24.924
8q9r_cleaned_938_uff_E=58.73,-3.8,3.597,2.863
8q9r_cleaned_938_uff_E=58.73,-3.7,26.439,25.699
8q9r_cleaned_938_uff_E=58.73,-3.7,33.86,33.228
8q9r_cleaned_938_uff_E=58.73,-3.7,24.258,23.292
8q9r_cleaned_938_uff_E=58.73,-3.6,25.83,24.938
8q9r_cleaned_985_uff_E=57.46,-4.5,0.0,0.0
8q9r_cleaned_985_uff_E=57.46,-4.4,6.513,3.382
8q9r_cleaned_985_uff_E=57.46,-4.4,21.886,19.05
