Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4a69_cleaned_289_uff_E=55.42,-4.6,0.0,0.0
4a69_cleaned_289_uff_E=55.42,-4.6,2.208,0.016
4a69_cleaned_289_uff_E=55.42,-4.3,25.655,24.996
4a69_cleaned_289_uff_E=55.42,-4.2,22.152,21.276
4a69_cleaned_289_uff_E=55.42,-4.2,21.307,20.91
4a69_cleaned_289_uff_E=55.42,-4.1,25.939,25.284
4a69_cleaned_289_uff_E=55.42,-4.1,30.958,30.364
4a69_cleaned_289_uff_E=55.42,-3.9,21.771,20.518
4a69_cleaned_289_uff_E=55.42,-3.9,26.157,25.432
4a69_cleaned_892_uff_E=156.51,-4.8,0.0,0.0
4a69_cleaned_892_uff_E=156.51,-4.8,39.529,38.558
4a69_cleaned_892_uff_E=156.51,-4.8,39.86,38.706
4a69_cleaned_892_uff_E=156.51,-4.7,5.645,4.334
4a69_cleaned_892_uff_E=156.51,-4.6,40.647,38.663
4a69_cleaned_892_uff_E=156.51,-4.5,40.858,38.973
4a69_cleaned_892_uff_E=156.51,-4.5,3.77,1.869
4a69_cleaned_892_uff_E=156.51,-4.5,2.911,1.642
4a69_cleaned_892_uff_E=156.51,-4.4,8.864,7.334
4a69_cleaned_938_uff_E=58.73,-4.6,0.0,0.0
4a69_cleaned_938_uff_E=58.73,-4.3,30.646,30.162
4a69_cleaned_938_uff_E=58.73,-4.3,2.789,2.237
4a69_cleaned_938_uff_E=58.73,-4.2,19.54,18.805
4a69_cleaned_938_uff_E=58.73,-4.2,17.431,16.656
4a69_cleaned_938_uff_E=58.73,-4.1,26.302,25.524
4a69_cleaned_938_uff_E=58.73,-4.0,31.429,30.548
4a69_cleaned_938_uff_E=58.73,-4.0,33.177,32.526
4a69_cleaned_938_uff_E=58.73,-4.0,24.42,23.43
4a69_cleaned_985_uff_E=57.46,-5.0,0.0,0.0
4a69_cleaned_985_uff_E=57.46,-4.8,2.357,1.2
4a69_cleaned_985_uff_E=57.46,-4.6,17.78,15.47
4a69_cleaned_985_uff_E=57.46,-4.5,10.809,8.099
4a69_cleaned_985_uff_E=57.46,-4.5,3.581,2.75
4a69_cleaned_985_uff_E=57.46,-4.4,2.383,1.648
4a69_cleaned_985_uff_E=57.46,-4.4,4.655,3.452
4a69_cleaned_985_uff_E=57.46,-4.4,19.215,17.437
4a69_cleaned_985_uff_E=57.46,-4.3,28.926,26.81
4a69_cleaned_1054_uff_E=125.61,-4.6,0.0,0.0
4a69_cleaned_1054_uff_E=125.61,-4.5,25.334,23.635
4a69_cleaned_1054_uff_E=125.61,-4.5,28.167,26.713
4a69_cleaned_1054_uff_E=125.61,-4.5,28.525,26.842
4a69_cleaned_1054_uff_E=125.61,-4.4,3.52,1.185
4a69_cleaned_1054_uff_E=125.61,-4.3,28.313,26.799
4a69_cleaned_1054_uff_E=125.61,-4.2,24.471,22.94
4a69_cleaned_1054_uff_E=125.61,-4.1,22.088,20.982
4a69_cleaned_1054_uff_E=125.61,-4.1,18.969,17.731
4a69_cleaned_1057_uff_E=62.72,-4.7,0.0,0.0
4a69_cleaned_1057_uff_E=62.72,-4.6,30.892,30.546
4a69_cleaned_1057_uff_E=62.72,-4.6,30.847,30.545
4a69_cleaned_1057_uff_E=62.72,-4.5,23.485,22.463
4a69_cleaned_1057_uff_E=62.72,-4.5,23.546,22.454
4a69_cleaned_1057_uff_E=62.72,-4.5,41.074,40.144
4a69_cleaned_1057_uff_E=62.72,-4.5,41.017,40.116
4a69_cleaned_1057_uff_E=62.72,-4.4,39.925,39.316
4a69_cleaned_1057_uff_E=62.72,-4.4,39.917,39.314
4a69_cleaned_3764_uff_E=337.15,-6.4,0.0,0.0
4a69_cleaned_3764_uff_E=337.15,-6.2,33.343,31.323
